metric,row_method,full_wins,full_ties,full_losses,full,full_old_wins,full_old_ties,full_old_losses,full_old,mpage_orig_wins,mpage_orig_ties,mpage_orig_losses,mpage_orig,dense_reward_wins,dense_reward_ties,dense_reward_losses,dense_reward,hybrid_reward_wins,hybrid_reward_ties,hybrid_reward_losses,hybrid_reward
aubc,full,0,80,0,0/80,39,0,41,39/80,73,0,7,73/80,40,0,40,40/80,46,0,34,46/80
aubc,full_old,41,0,39,41/80,0,80,0,0/80,71,0,9,71/80,44,0,36,44/80,40,0,40,40/80
aubc,mpage_orig,7,0,73,7/80,9,0,71,9/80,0,80,0,0/80,8,0,72,8/80,11,0,69,11/80
aubc,dense_reward,40,0,40,40/80,36,0,44,36/80,72,0,8,72/80,0,80,0,0/80,44,0,36,44/80
aubc,hybrid_reward,34,0,46,34/80,40,0,40,40/80,69,0,11,69/80,36,0,44,36/80,0,80,0,0/80
hv_final,full,0,80,0,0/80,45,0,35,45/80,46,0,34,46/80,48,0,32,48/80,44,0,36,44/80
hv_final,full_old,35,0,45,35/80,0,80,0,0/80,38,0,42,38/80,39,0,41,39/80,35,0,45,35/80
hv_final,mpage_orig,34,0,46,34/80,42,0,38,42/80,0,80,0,0/80,36,0,44,36/80,33,0,47,33/80
hv_final,dense_reward,32,0,48,32/80,41,0,39,41/80,44,0,36,44/80,0,80,0,0/80,40,0,40,40/80
hv_final,hybrid_reward,36,0,44,36/80,45,0,35,45/80,47,0,33,47/80,40,0,40,40/80,0,80,0,0/80
valid_yield_per_100_calls,full,0,80,0,0/80,33,12,35,33/80,38,16,26,38/80,36,10,34,36/80,23,18,39,23/80
valid_yield_per_100_calls,full_old,35,12,33,35/80,0,80,0,0/80,40,13,27,40/80,33,13,34,33/80,27,11,42,27/80
valid_yield_per_100_calls,mpage_orig,26,16,38,26/80,27,13,40,27/80,0,80,0,0/80,24,15,41,24/80,20,11,49,20/80
valid_yield_per_100_calls,dense_reward,34,10,36,34/80,34,13,33,34/80,41,15,24,41/80,0,80,0,0/80,27,13,40,27/80
valid_yield_per_100_calls,hybrid_reward,39,18,23,39/80,42,11,27,42/80,49,11,20,49/80,40,13,27,40/80,0,80,0,0/80
invalid_null_proxy_rate,full,0,80,0,0/80,34,7,39,34/80,0,0,80,0/80,40,2,38,40/80,28,8,44,28/80
invalid_null_proxy_rate,full_old,39,7,34,39/80,0,80,0,0/80,0,0,80,0/80,36,7,37,36/80,31,3,46,31/80
invalid_null_proxy_rate,mpage_orig,80,0,0,80/80,80,0,0,80/80,0,80,0,0/80,80,0,0,80/80,80,0,0,80/80
invalid_null_proxy_rate,dense_reward,38,2,40,38/80,37,7,36,37/80,0,0,80,0/80,0,80,0,0/80,32,5,43,32/80
invalid_null_proxy_rate,hybrid_reward,44,8,28,44/80,46,3,31,46/80,0,0,80,0/80,43,5,32,43/80,0,80,0,0/80
